Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH,WH
16/12/23,0.87,0.81,1,0.97,0.85,0.84,0.87,0.95,
17/12/23,0.91,0.84,1,1,0.86,0.87,0.89,0.98,
18/12/23,0.93,0.83,1,1,0.88,0.89,0.91,0.98,
19/12/23,0.88,0.82,1,0.99,0.86,0.89,0.91,0.99,
20/12/23,0.88,0.82,1,1,0.85,0.88,0.89,0.98,
21/12/23,0.88,0.82,1,1,0.82,0.89,0.87,0.95,
22/12/23,0.86,0.82,0.98,0.99,0.77,0.86,0.84,0.93,
23/12/23,0.81,0.83,0.99,0.99,0.75,0.84,0.83,0.91,
24/12/23,0.83,0.84,1,0.98,0.73,0.81,0.87,0.93,
25/12/23,0.86,0.85,1,0.93,0.77,0.84,0.91,0.97,
