rssi,hour,2_hour_interval,Pi_is_emergency,is_emergency,is_emergency_pred,Pi_is_emergency_2,is_emergency_2_pred
-98,3,2,0.8324928768849651,1,1,0.4547732243082738,0
-43,6,6,0.5312337954910371,0,1,0.23166176291688706,0
-86,10,10,0.034143344434201243,0,0,0.25965942310291845,0
-56,12,12,0.01450153262927343,0,0,0.1748451343174485,0
-79,6,6,0.3836229305705193,0,0,0.3113450954376784,0
-82,21,20,2.7180523876643133e-05,0,0,0.13488003860196188,0
-87,12,12,0.008706382396662896,0,0,0.23097342263865658,0
-82,17,16,0.00042573669473901763,0,0,0.17860766822902485,0
-79,15,14,0.0017691899375665745,0,0,0.19889226590699005,0
-76,15,14,0.001859620786538956,0,0,0.1935678639060557,0
-76,4,4,0.7214372664895308,1,1,0.340456351497438,0
-62,10,10,0.050072366260430774,0,0,0.21118205087929204,0
-92,16,16,0.0005154734697288571,0,0,0.18554370913919216,0
-26,15,14,0.00426446655258195,0,0,0.12029400683304803,0
-68,9,8,0.11662710450836618,0,0,0.26541578434486723,0
-68,20,20,4.907572784691042e-05,0,0,0.11086074956186849,0
-51,12,12,0.015740422820313436,0,0,0.16687534414604277,0
-92,11,10,0.021877922460139497,0,0,0.2861272500544384,0
-94,18,18,0.00012600500710759028,0,0,0.16478321482518063,0
-99,22,22,7.4000410870596616e-06,0,0,0.1301687033275252,0
-56,12,12,0.01450153262927343,0,0,0.1748451343174485,0
-64,18,18,0.00020760849557445267,0,0,0.12339618161099543,0
-54,23,22,1.0943844803326895e-05,0,0,0.0878713607277996,0
-67,10,10,0.04625829012337605,0,0,0.22070731119072992,0
-69,12,12,0.011712627535367913,0,0,0.19696384831111308,0
-86,19,18,0.00010065493478515715,0,0,0.16149677659416128,0
-96,0,0,0.9667658534506746,1,1,0.47414180523347416,0
-26,15,14,0.00426446655258195,0,0,0.12029400683304803,0
-74,10,10,0.04138059253781856,0,0,0.23455321088541806,0
-96,15,14,0.0013336994926872697,0,0,0.23113230152137998,0
-78,15,14,0.0017988349696382302,0,0,0.19710532915699566,0
-82,9,8,0.0946765789160622,0,0,0.2972426231814252,0
-68,19,18,0.0001358174141305315,0,0,0.13590931091837818,0
-81,14,14,0.0024458075626431087,0,0,0.19206025487032058,0
-78,3,2,0.8739496666281239,1,1,0.39975984071622706,0
-63,19,18,0.00014760434157083563,0,0,0.12943589793492472,0
-84,15,14,0.001628122341104904,0,0,0.20800937568487102,0
-92,14,14,0.00203738315773763,0,0,0.21200302441695276,0
-51,17,16,0.0007130808014305102,0,0,0.133003807096697,0
-66,15,14,0.0021957137429939205,0,0,0.17660461951382206,0
-82,14,14,0.0024055260332788183,0,0,0.1938124943191903,0
-52,1,0,0.9769107128254781,1,1,0.3698847808609177,0
-72,14,14,0.0028400008049738732,0,0,0.17683251272933778,0
-84,5,4,0.6131563042131056,1,1,0.3762998192159388,0
-51,19,18,0.00018023621696824116,0,0,0.11496561621692764,0
-75,18,18,0.00017287526620254985,0,0,0.13742185084134748,0
-78,12,12,0.010099383228238066,0,0,0.21347559981912761,0
-78,12,12,0.010099383228238066,0,0,0.21347559981912761,0
-111,11,10,0.01604075154272062,0,0,0.33171062862908834,0
-84,15,14,0.001628122341104904,0,0,0.20800937568487102,0
-100,16,16,0.000451228126204412,0,0,0.19953468835786317,0
-76,19,18,0.00011888436488562784,0,0,0.1468323366811397,0
-102,13,12,0.00476117935230744,1,0,0.27526472534917173,0
-99,13,12,0.005003776950057261,0,0,0.26858125906748537,0
-42,14,14,0.004671033927035935,0,0,0.1329007217155068,0
-76,2,2,0.9111260074028802,1,1,0.37873413231214026,0
-116,11,10,0.01477857813707175,0,0,0.3442994247535149,0
-60,17,16,0.0006139231453656782,0,0,0.14512268164634815,0
-64,12,12,0.012716331285824087,0,0,0.18821581442633006,0
-86,9,8,0.08912107555313485,0,0,0.3067302664771802,0
-68,10,10,0.045529366913459095,0,0,0.2226488846892508,0
-96,15,14,0.0013336994926872697,0,0,0.23113230152137998,0
-87,8,8,0.12097436708650641,0,0,0.2952231447458881,0
-86,2,2,0.896691322378475,1,1,0.40554982024323,0
-66,12,12,0.012305044778444236,0,0,0.19167871860062252,0
-72,11,10,0.030259633737864885,0,0,0.24244320563208527,0
-82,10,10,0.036408709322939395,0,0,0.2511004041639826,0
-58,15,14,0.0025077138077690955,0,0,0.1638922582461401,0
-90,16,16,0.0005329153830886379,0,0,0.18216666269228787,0
-69,18,18,0.00019103085891434806,0,0,0.12961250517828088,0
-76,14,14,0.002657534373353394,0,0,0.18348024981126795,0
-86,14,14,0.002250911040024277,0,0,0.2009427432699938,0
-45,14,14,0.004444496613953814,0,0,0.13683953627872736,0
-112,20,20,2.3592199383335414e-05,0,0,0.1698288852891588,0
-44,12,12,0.017651461104447555,0,0,0.1562092321274379,0
-68,12,12,0.01190690015251689,0,0,0.1951900158994816,0
-75,19,18,0.00012087977253574831,0,0,0.145428220750316,0
-86,17,16,0.00039832169378293484,0,0,0.18530711661990876,0
-60,22,22,1.4164191397364915e-05,0,0,0.08799698823792014,0
-99,14,14,0.0018136844880353709,0,0,0.22546084973414862,0
-85,10,10,0.0346966044496935,0,0,0.2575020161387363,0
-70,9,8,0.11324049487783516,0,0,0.26982694524079687,0
-90,15,14,0.0014735867272489633,0,0,0.21935184304861371,0
-93,22,22,8.177345477862838e-06,0,0,0.12271289846494382,0
-81,3,2,0.8683445249909213,1,1,0.4078872149526572,0
-70,21,20,3.319038717039231e-05,0,0,0.11988494315522237,0
-54,15,14,0.0026799211934713197,0,0,0.15781704974309116,0
-92,10,10,0.030998403158846513,0,0,0.27284801920993407,0
-57,12,12,0.01426553726220909,0,0,0.17647461954988586,0
-84,20,20,3.760067075467853e-05,0,0,0.129890350986105,0
-96,7,6,0.24693507975008622,0,0,0.3689829709189101,0
-58,10,10,0.05333623817903194,0,0,0.20378112980966015,0
-102,10,10,0.026370062600684016,0,0,0.29573537972568714,0
-87,17,16,0.00039174824285350383,0,0,0.18701200566547083,0
-98,2,2,0.8766654304257818,1,1,0.4384745284253872,0
-88,15,14,0.0015233986038800003,0,0,0.21552229180803137,0
-90,19,18,9.417136221292285e-05,0,0,0.1676854330751388,0
-86,7,6,0.2791755916289039,0,0,0.3431892614699987,0
-80,10,10,0.03759497639511531,0,0,0.24689187116349695,0
-92,13,12,0.0056187247747344305,0,0,0.2533916090055587,0
-69,14,14,0.002985001698026742,0,0,0.17197188547743825,0
-45,15,14,0.003111729062344954,0,0,0.14481767568607312,0
-54,15,14,0.0026799211934713197,0,0,0.15781704974309116,0
-69,12,12,0.011712627535367913,0,0,0.19696384831111308,0
-64,21,20,3.667662435700041e-05,0,0,0.11294168967180232,0
3,15,14,0.006892550422807761,0,0,0.08980728747578276,0
-111,16,16,0.0003757522657330461,0,0,0.2200421983945622,0
